"noted_date","temperature_inside","__dt"
"2018-10-27 06:15:00","30","2022-03-29 00:00:00.000"
"2018-10-27 06:22:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:23:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:23:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:24:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:23:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:24:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:26:00","29","2022-03-29 00:00:00.000"
"2018-10-27 06:27:00","30","2022-03-29 00:00:00.000"
"2018-10-27 06:29:00","30","2022-03-29 00:00:00.000"
"2018-10-27 06:38:00","30","2022-03-29 00:00:00.000"
"2018-10-27 06:30:00","30","2022-03-29 00:00:00.000"
"2018-10-27 06:39:00","31","2022-03-29 00:00:00.000"
"2018-10-27 06:41:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:39:00","31","2022-03-29 00:00:00.000"
"2018-10-27 06:40:00","31","2022-03-29 00:00:00.000"
"2018-10-27 06:41:00","31","2022-03-29 00:00:00.000"
"2018-10-27 06:42:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:45:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:42:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:44:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:46:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:46:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:47:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:48:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:50:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:50:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:51:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:51:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:52:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:53:00","33","2022-03-29 00:00:00.000"
"2018-10-27 06:55:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:56:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:56:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:56:00","32","2022-03-29 00:00:00.000"
"2018-10-27 06:57:00","33","2022-03-29 00:00:00.000"
"2018-10-27 06:57:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:00:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:02:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:02:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:02:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:02:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:03:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:03:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:05:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:07:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:04:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:07:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:07:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:08:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:08:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:08:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:09:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:09:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:10:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:10:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:11:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:11:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:13:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:15:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:14:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:13:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:17:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:15:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:17:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:17:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:18:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:18:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:18:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:20:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:24:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:22:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:22:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:25:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:26:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:29:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:26:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:29:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:30:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:31:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:34:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:35:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:35:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:37:00","32","2022-03-29 00:00:00.000"
